State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Nurse Family Partnership,Home Visiting,Evidence-based model program that helps young women take better care of themselves and their babies through intensive home visiting.,"High-risk, low-income pregnant youth/women",Pregnant and living in poverty,Not specified,Not specified,Yes,http://publichealth.lacounty.gov/mch/homevisiting.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Parents as Teachers,Home Visiting,Home-visiting program providing parents and caregivers with information and support to help them become their child’s first and most important teacher.,Parents and caregivers of children from birth to age 5,Not specified,Not specified,Not specified,Yes,http://publichealth.lacounty.gov/mch/homevisiting.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Healthy Families America,Home Visiting,Evidence-based home visiting program aimed at preventing child abuse and neglect by providing support to parents during the early years of their child's development.,Families with children from birth to age 5,Eligible to receive services beginning prenatally or within three months of birth,Not specified,Not specified,Yes,http://publichealth.lacounty.gov/mch/homevisiting.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Project HOPE,Home Visiting,Pilot program to support families experiencing homelessness by providing essential support during pregnancy and early stages of childbearing.,Families experiencing homelessness,Unhoused or unstable housing and at least one of the following: pregnant or parenting with children through age 4,Complete the Confidential Referral Form and email it,Not specified,Yes,http://publichealth.lacounty.gov/mch/homevisiting.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,African American Infant & Maternal Mortality Prevention Initiative (AAIMM),Health Equity,Program aimed at reducing infant and maternal mortality rates among African American communities.,African American mothers and infants,Not specified,Not specified,Not specified,Unknown,http://www.publichealth.lacounty.gov/mch/MCAH%20Data%20Resources/MCAH%20Data%20Resources.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Black Infant Health (BIH),Health Equity,"California program addressing African American infant mortality through culturally-specific group education, peer support, and case management.",African American mothers and infants,Not specified,Not specified,Not specified,Unknown,http://www.publichealth.lacounty.gov/mch/MCAH%20Data%20Resources/MCAH%20Data%20Resources.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Comprehensive Perinatal Services Program (CPSP),Perinatal Care,"Enhanced prenatal and postpartum care for Medi-Cal eligible women, including health education, nutrition, and psychosocial assessments.",Pregnant women and new mothers,Medi-Cal eligibility,Not specified,Not specified,Yes,http://www.publichealth.lacounty.gov/mch/MCAH%20Data%20Resources/MCAH%20Data%20Resources.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Nurse-Family Partnership (NFP),Home Visiting,"Evidence-based nurse home visiting program for first-time, low-income mothers from pregnancy through child's second birthday.","First-time, low-income mothers","First-time mother, low-income",Not specified,Not specified,Unknown,http://www.publichealth.lacounty.gov/mch/MCAH%20Data%20Resources/MCAH%20Data%20Resources.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Los Angeles Mommy and Baby Project (LAMB),Maternal Child Health,Program designed to improve maternal and infant health outcomes through education and support.,Pregnant women and new mothers,Not specified,Not specified,Not specified,Unknown,http://www.publichealth.lacounty.gov/mch/MCAH%20Data%20Resources/MCAH%20Data%20Resources.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Comprehensive Perinatal Services Program (CPSP),Perinatal Care,"The Comprehensive Perinatal Services Program (CPSP) is an enhanced obstetrical program for Medi-Cal eligible pregnant women that includes health education, nutrition, and psychosocial assessments and interventions.",Pregnant women,Medi-Cal eligibility,Not specified,Not specified,Yes,http://www.publichealth.lacounty.gov/mch/CPSP/cpspproviders/providerlist.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Black Infant Health (BIH),Health Equity,"California program addressing African American infant mortality through culturally-specific group education, peer support, and case management.",African American mothers and infants,Not specified,Not specified,Not specified,Unknown,Not found,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Nurse-Family Partnership (NFP),Home Visiting,"Evidence-based nurse home visiting program for first-time, low-income mothers from pregnancy through child's second birthday.","First-time, low-income mothers",Not specified,Not specified,Not specified,Unknown,Not found,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,African American Infant & Maternal Mortality Prevention Initiative (AAIMM),Health Equity,Program aimed at reducing infant and maternal mortality rates among African American populations.,African American mothers and infants,Not specified,Not specified,Not specified,Unknown,Not found,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Comprehensive Perinatal Services Program (CPSP),Perinatal Care,"Provides a wide range of culturally competent services to Medi-Cal pregnant women, from conception through 1 year postpartum, including enhanced services in nutrition, psychosocial, and health education.",Pregnant women and new mothers,Medi-Cal eligibility,Not specified,Not specified,Yes,https://admin.publichealth.lacounty.gov/mch/cpsp/CPSPwebpages/cpsp_rev.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Comprehensive Perinatal Services Program,Perinatal Care,"Enhanced prenatal and postpartum care for Medi-Cal eligible women, including health education, nutrition, and psychosocial assessments.","Pregnant women, new mothers",Medi-Cal eligibility,Not specified,Not specified,Yes,http://publichealth.lacounty.gov/mch/cpsp/CPSPwebpages/cpsp_rev.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Black Infant Health,Health Equity,"California program addressing African American infant mortality through culturally-specific group education, peer support, and case management.",African American mothers and infants,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/cpsp/CPSPwebpages/cpsp_rev.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Nurse-Family Partnership,Home Visiting,"Evidence-based nurse home visiting program for first-time, low-income mothers from pregnancy through child's second birthday.","First-time, low-income mothers","First-time mothers, low-income",Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/cpsp/CPSPwebpages/cpsp_rev.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,WIC Program,Nutrition,"Women, Infants, and Children - supplemental nutrition program providing food benefits, nutrition education, and breastfeeding support.","Women, infants, and children",Not specified,Not specified,Not specified,Yes,http://publichealth.lacounty.gov/mch/cpsp/CPSPwebpages/cpsp_rev.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Comprehensive Perinatal Services Program (CPSP),Perinatal Care,"CPSP provides a wide range of culturally competent services to Medi-Cal pregnant women, from conception through 1 year postpartum, including enhanced services in nutrition, psychosocial, and health education.",Pregnant women and new mothers,Medi-Cal eligible women,Not specified,Not specified,Yes,http://publichealth.lacounty.gov/mch/cpsp/CPSPwebpages/cpsp_rev.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Nurse Family Partnership,Home Visiting,Evidence-based model program that helps young women take better care of themselves and their babies through intensive home visiting.,"High-risk, low-income pregnant youth/women",Pregnant and living in poverty,Not specified,Not specified,Yes,http://publichealth.lacounty.gov/mch/homevisiting.htm#confidential,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Parents as Teachers,Home Visiting,Home-visiting program providing parents and caregivers with information and support to help them become their child’s first teacher.,Parents and caregivers of children from birth to age 5,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/homevisiting.htm#confidential,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Healthy Families America,Home Visiting,Evidence-based home visiting program aimed at preventing child abuse and neglect by providing support to parents during early childhood.,Families with children from birth to age 5,Eligible to receive services beginning prenatally or within three months of birth,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/homevisiting.htm#confidential,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Project HOPE,Home Visiting,Pilot program to support families experiencing homelessness with a focus on maternity and pediatrics.,Families experiencing homelessness,Unhoused or unstable housing and at least one of the following: pregnant or parenting with children through age 4,Complete the Confidential Referral Form and email it,Not specified,Unknown,http://publichealth.lacounty.gov/mch/homevisiting.htm#confidential,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
